"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/heart-jewelry/source/Mat_2.Mat_2","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/foto_polaroid/Frame_blinn2SG.Frame_blinn2SG","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/color-pencil-collection/source/Material_011.Material_011","0","3","3","1","1.920625","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/color-pencil-collection/source/Material.Material","0","3","3","1","1.804558","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/free-pothos-potted-plant-money-plant/source/WOODEN_LEGS_POT.WOODEN_LEGS_POT","0","3","3","1","2.396097","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/free-pothos-potted-plant-money-plant/source/POTHOS_Mat.POTHOS_Mat","0","3","3","1","2.557060","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Light_Oak1.Light_Oak1","0","3","3","1","2.587906","0","3"
"/Game/DESCARGAS/lip-stick/textures/lakeme.lakeme","0","3","3","1","1.706296","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/3ce-face-blush-unusual-day/sticker_sew1.sticker_sew1","0","3","3","1","1.780494","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaciones_assetsvarios/Tree_S1/grt1.grt1","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaciones_assetsvarios/Tree_S1/M_06___Default1.M_06___Default1","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaciones_assetsvarios/Tree_S1/TEXTURE11.TEXTURE11","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/sketchbook-variant-of-a-sad-child/source/Sketchbook_sadchild/sketchbook_backface.sketchbook_backface","0","3","3","1","1.551854","0","3"
